bfs_nummer,name,einwohnerzahl,min_distanz_m
1137,Nebikon,2941,7834.5532807158725
4143,Schmiedrued,1160,5345.39390577055
3618,Lumnezia,2075,15416.344020622935
2153,Sorens,1103,5827.560892408392
6778,Bure,645,6478.4263146866215
2457,Messen,1498,6817.781298592863
434,Courtelary,1447,10340.649596936562
2122,Pont-en-Ogoz,2038,7544.010476809215
443,Saint-Imier,5177,8386.495521200182
4288,Wiliberg,170,5080.206848574143
6742,Les Bois,1244,6754.385305076397
4311,Leibstadt,1605,5794.377079276801
2790,Roggenburg,246,7043.444237376187
5702,Arzier-Le Muids,2968,5155.390235413344
3681,Avers,169,17555.330553205997
6624,Gy,553,6219.5995638424265
563,Frutigen,7100,8279.780122022912
2472,Büren (SO),1077,5210.970285950995
5804,Jorat-Menthue,1574,6464.900200195891
4831,Müllheim,3339,8276.07626194818
445,Sonvilier,1221,8843.096064830355
81,Bachs,678,5640.114579645924
3972,Seewis im Prättigau,1450,7964.770361093161
1401,Alpnach,6511,6163.193086364091
6090,Mont-Noble,1187,5062.514898938514
6782,Cornol,1083,6501.734205615318
724,Nods,768,7431.991504734059
6158,Vionnaz,3024,5008.430357157375
1404,Kerns,6514,7494.010932085691
3701,Andeer,923,12553.914758067873
408,Hellsau,213,6540.119146734745
3986,Tujetsch,1199,10439.577927846014
3847,Val Müstair,1430,7138.226825237941
2903,Löhningen,1642,5798.524705153987
6201,Unterbäch,479,6574.884465341394
1068,Vitznau,1476,5130.217145230176
5813,Chevroux,494,6361.807650050707
1631,Glarus Süd,9675,13619.217225590328
988,Seeberg,1599,5462.032943867937
6084,Hérémence,1545,8146.576177931561
889,Thurnen,2060,7382.758832194225
6119,Turtmann-Unterems,1212,6919.656056948833
3003,Schönengrund,557,6393.488579803192
3544,Bergün Filisur,898,12825.064074888822
39,Thalheim an der Thur,1004,5283.27533717538
41,Truttikon,458,8948.602475307829
1131,Grossdietwil,920,8435.5443935884
5842,Rossinière,499,5455.2801646750395
3293,Mels,9581,10000.695930079255
2121,Haut-Intyamon,1774,6541.087295792905
906,Schangnau,924,14686.69877764475
3988,Obersaxen Mundaun,1160,11901.94847850992
6195,Ferden,248,7798.899378878715
567,Reichenbach im Kandertal,3792,14087.37837389714
2535,Drei Höfe,732,5619.820700715449
3292,Flums,5400,7092.713459335251
945,Unterlangenegg,1072,6911.913986253635
574,Brienzwiler,514,7633.893283269245
309,Radelfingen,1285,5046.431503452177
1405,Lungern,2072,6992.311550156265
6199,Raron,2024,6507.441693679882
869,Kaufdorf,1101,5740.20861174714
1125,Dagmersellen,6004,8092.374632423721
38,Rheinau,1321,6046.72567030888
291,Andelfingen,3681,6309.75760440955
792,Lenk,2322,10427.69903055547
935,Oberlangenegg,473,9583.16883564846
975,Farnern,226,8030.979821298635
6032,Bourg-Saint-Pierre,222,13721.580829107583
3669,Tschappina,146,6651.284409925455
6604,Avusy,1412,5919.605640347907
586,Lütschental,239,6556.271854866551
2974,Wilchingen,1738,10125.614975113962
2079,Grangettes,212,5123.765925026166
1343,Innerthal,191,10360.819003303499
943,Uebeschi,707,5002.721961893761
4901,Birwinken,1428,6814.315187850389
446,Tramelan,4727,7725.637652563614
2226,Treyvaux,1642,6304.407808160507
6197,Kippel,329,9645.062987049783
5571,Tévenon,862,6012.946858583439
668,Mühleberg,3097,5610.007730171741
5287,Riviera,4269,5521.035345504863
4476,Erlen,3980,5088.306552503269
1143,Schötz,4964,5178.015738966519
763,Erlenbach im Simmental,1731,11092.857975884584
6758,Saint-Brais,237,9670.419583319108
6214,Finhaut,418,11054.138825969772
766,Oberwil im Simmental,845,11716.891443566436
4726,Fischingen,3028,6768.884181711469
842,Lauenen,865,9390.445613265989
3273,Grabs,7488,6214.320372568333
2480,Seewen,1088,6196.136206801536
5843,Rougemont,813,6335.029561435289
6432,La Brévine,624,7278.5395499328615
2547,Günsberg,1205,6487.313881626007
2147,Pont-la-Ville,606,7911.064379519812
2137,Hauteville,744,6206.270919386482
585,Leissigen,1205,7142.233321208023
3837,Calanca,204,7813.653613924712
1375,Unteriberg,2476,11716.334407131368
5754,Juriens,348,5911.102308101032
1007,Romoos,661,5438.9920597659175
1104,Triengen,4923,7692.162081293749
